Date,CPI_Headline
2008-07-01,55.120300150312
2008-08-01,56.0868065258893
2008-09-01,56.5332637856738
2008-10-01,57.318243583097
2008-11-01,57.1367170049429
2008-12-01,56.9993455403938
2009-01-01,57.1367170049429
2009-02-01,57.9216968023661
2009-03-01,58.1326601229236
2009-04-01,58.7164888472571
2009-05-01,58.6772398573859
2009-06-01,59.187476725711
2009-07-01,60.08039124528
2009-08-01,61.1695507142047
2009-09-01,61.2725793126165
2009-10-01,61.6405385926586
2009-11-01,62.4549551324852
2009-12-01,61.998685625233
2010-01-01,63.6029880862167
2010-02-01,63.8433881491775
2010-03-01,64.6381801940686
2010-04-01,65.8205560139373
2010-05-01,65.9088662411474
2010-06-01,66.1492663041083
2010-07-01,67.518074825865
2010-08-01,68.9948180697674
2010-09-01,70.3979694576614
2010-10-01,71.0897329041407
2010-11-01,71.7962147218216
2010-12-01,71.5803452775302
2011-01-01,72.4487291784296
2011-02-01,72.0464270322502
2011-03-01,73.0570885214326
2011-04-01,74.0775622580828
2011-05-01,74.2443704650352
2011-06-01,74.95575840645
2011-07-01,75.9075464108257
2011-08-01,76.967269137347
2011-09-01,77.7620611822381
2011-10-01,78.8855635173001
2011-11-01,79.1112452090592
2011-12-01,78.5568532271291
2012-01-01,79.7637596656673
2012-02-01,80.0041597286282
2012-03-01,80.9412293618021
2012-04-01,82.4228787294385
2012-05-01,83.3697606100802
2012-06-01,83.3991973524836
2012-07-01,83.19314015566
2012-08-01,83.9388709632121
2012-09-01,84.6011976672879
2012-10-01,84.925001833725
2012-11-01,84.5913854198201
2012-12-01,84.7876303691759
2013-01-01,86.2005940045377
2013-02-01,85.9111327042379
2013-03-01,86.2594674893445
2013-04-01,87.2014432462523
2013-05-01,87.6479005060368
2013-06-01,88.2807904677093
2013-07-01,90.0666195068471
2013-08-01,91.1116238621668
2013-09-01,90.8515993042703
2013-10-01,92.6374283434081
2013-11-01,93.8099919158091
2013-12-01,92.5687426111336
2014-01-01,93.020105994652
2014-02-01,92.7257385706183
2014-03-01,93.6186530901872
2014-04-01,95.2082371799692
2014-05-01,94.9580248695406
2014-06-01,95.5418535938741
2014-07-01,97.1657805497934
2014-08-01,97.4846785924966
2014-09-01,97.8281072538692
2014-10-01,98.0292583269589
2014-11-01,97.5288337061016
2014-12-01,96.5476089593226
2015-01-01,96.6261069390649
2015-02-01,95.733192419496
2015-03-01,95.9490618637874
2015-04-01,97.2197479108662
2015-05-01,97.9556664709505
2015-06-01,98.5591196902196
2015-07-01,98.9172667227939
2015-08-01,99.2263525180293
2015-09-01,99.1233239196175
2015-10-01,99.6090301692732
2015-11-01,100.192858893607
2015-12-01,99.6237485404748
2016-01-01,99.8347118610323
2016-02-01,99.5844995506037
2016-03-01,99.7316832626205
2016-04-01,101.277112238797
2016-05-01,101.061242794506
2016-06-01,101.703945003646
2016-07-01,103.067847401669
2016-08-01,102.763667730168
2016-09-01,102.969724926991
2016-10-01,103.79885983802
2016-11-01,104.014729282311
2016-12-01,103.30824746463
2017-01-01,103.489774042784
2017-02-01,103.784141466818
2017-03-01,104.657431491451
2017-04-01,106.119456364152
2017-05-01,106.134174735354
2017-06-01,105.702435846771
2017-07-01,106.065489003079
2017-08-01,106.271546199903
2017-09-01,106.943685151446
2017-10-01,107.743383320071
2017-11-01,108.140779342517
2017-12-01,108.032844620371
2018-01-01,108.067187486508
2018-02-01,107.72866494887
2018-03-01,108.057375239041
2018-04-01,110.019824732599
2018-05-01,110.584028961997
2018-06-01,111.212012799935
2018-07-01,112.252111031521
2018-08-01,112.482698847014
2018-09-01,112.418919238473
2018-10-01,115.043695436107
2018-11-01,115.171254653189
2018-12-01,114.695360651001
2019-01-01,115.838487480998
2019-02-01,116.574406041083
2019-03-01,118.227769739405
2019-04-01,119.724137478243
2019-05-01,120.661207111417
2019-06-01,121.092946
2019-07-01,123.86
2019-08-01,125.89
2019-09-01,126.86
2019-10-01,129.16
2019-11-01,130.9
2019-12-01,130.454431016977
2020-01-01,133.029033927464
2020-02-01,131.642796124993
2020-03-01,131.693242004625
2020-04-01,130.592029725309
2020-05-01,131.005940549382
2020-06-01,132.077301455243
2020-07-01,135.379577387331
2020-08-01,136.22648400925
2020-09-01,138.319057194427
2020-10-01,140.672768345648
2020-11-01,141.825787410457
2020-12-01,140.857570928986
2021-01-01,140.557868182075
2021-02-01,143.092201618817
2021-03-01,143.61
2021-04-01,145.093316317897
2021-05-01,145.241806785493
2021-06-01,144.824974476846
2021-07-01,146.756706949067
2021-08-01,147.606186756162
2021-09-01,150.741532799368
2021-10-01,153.610195160472
2021-11-01,158.183437165097
2021-12-01,158.157399035479
2022-01-01,158.779452027751
2022-02-01,160.608114388854
2022-03-01,161.883237492244
2022-04-01,164.495044277737
2022-05-01,165.226182243781
2022-06-01,175.708755428958
2022-07-01,183.349126995318
2022-08-01,187.840093067855
2022-09-01,185.677910203621
2022-10-01,194.415829432004
2022-11-01,195.889020390321
2022-12-01,196.855875965932
2023-01-01,202.529536070844
2023-02-01,211.278100851712
2023-03-01,219.138546731344
2023-04-01,224.410771617125
2023-05-01,227.961686643353
2023-06-01,227.372703762198
2023-07-01,235.23277807547
2023-08-01,239.269336397992
2023-09-01,244.047947712787
2023-10-01,246.687501833155
2023-11-01,253.150037509166
2023-12-01,255.235011986012
2024-01-01,259.918476930453
2024-02-01,260.008379350217
2024-03-01,264.46
2024-04-01,263.320780641886
2024-05-01,254.779596141914
2024-06-01,255.942666253032
2024-07-01,261.315833944385
2024-08-01,262.324719245304
2024-09-01,260.960659794687
2024-10-01,264.17481682554
2024-11-01,265.462787100231
2024-12-01,265.627241384173
2025-01-01,266.171077894974
2025-02-01,263.950980314739
2025-03-01,266.293776439732
